Obj,Si,Al,Mg,Ca,Na,K,Fe,Ti,S,Ba,Pb,Zn,Sn,As,Sb,Zr,P,Cl,Cr,Mn,Ni,Cu,Sr,Residuais,TOTAL
1,78.564,0.000,1.963,5.450,12.732,0.220,0.026,0.000,0.283,0.007,0.311,0.001,0.000,0.083,0.151,0.002,0.023,0.055,0.002,0.108,0.000,0.002,0.003,0.014,87.268
2,77.869,0.000,1.371,5.475,14.040,0.220,0.026,0.000,0.250,0.006,0.309,0.001,0.000,0.085,0.152,0.002,0.022,0.056,0.001,0.106,0.000,0.001,0.003,0.005,85.960
3,78.375,0.000,1.688,5.512,12.949,0.240,0.031,0.000,0.408,0.006,0.317,0.001,0.000,0.090,0.158,0.002,0.026,0.073,0.001,0.110,0.000,0.002,0.003,0.008,87.051
4,79.266,0.000,1.861,5.565,11.782,0.284,0.028,0.000,0.416,0.005,0.319,0.001,0.000,0.090,0.160,0.002,0.029,0.066,0.001,0.111,0.000,0.002,0.003,0.009,88.218
5,79.067,0.000,2.008,5.541,12.008,0.233,0.030,0.000,0.342,0.009,0.314,0.001,0.000,0.088,0.158,0.002,0.027,0.045,0.001,0.110,0.000,0.002,0.003,0.011,87.992
6,75.324,0.003,0.862,4.701,17.608,0.241,0.008,0.009,0.489,0.005,0.360,0.002,0.006,0.096,0.124,0.005,0.019,0.016,0.001,0.106,0.000,0.002,0.005,0.008,82.392
7,75.751,0.000,0.818,5.347,13.287,3.661,0.031,0.000,0.266,0.002,0.014,0.000,0.000,0.150,0.334,0.007,0.042,0.213,0.002,0.061,0.000,0.002,0.002,0.010,86.713
8,77.096,0.000,1.705,5.407,14.525,0.214,0.026,0.000,0.290,0.009,0.311,0.001,0.000,0.088,0.155,0.002,0.021,0.030,0.001,0.109,0.000,0.001,0.003,0.006,85.475
9,74.399,0.000,1.443,5.041,17.621,0.207,0.047,0.003,0.431,0.006,0.336,0.002,0.003,0.095,0.143,0.004,0.034,0.050,0.002,0.106,0.000,0.002,0.004,0.021,82.379
10,71.958,0.000,1.247,4.848,20.551,0.207,0.014,0.000,0.381,0.051,0.333,0.002,0.004,0.093,0.132,0.003,0.020,0.040,0.001,0.101,0.000,0.002,0.004,0.008,79.449
11,65.998,0.477,0.670,4.749,23.406,3.275,0.017,0.023,0.611,0.003,0.020,0.001,0.010,0.166,0.283,0.014,0.012,0.166,0.001,0.060,0.000,0.002,0.004,0.032,76.594
12,78.285,0.000,1.555,5.491,13.170,0.250,0.027,0.000,0.451,0.008,0.316,0.001,0.000,0.086,0.152,0.002,0.028,0.057,0.001,0.109,0.000,0.002,0.003,0.006,86.830
13,75.115,0.344,0.479,4.640,14.518,3.675,0.012,0.018,0.473,0.003,0.022,0.001,0.006,0.169,0.270,0.013,0.025,0.142,0.000,0.062,0.000,0.001,0.003,0.009,85.482
14,80.154,0.000,1.929,3.751,13.254,0.147,0.022,0.004,0.315,0.005,0.072,0.000,0.000,0.120,0.006,0.001,0.013,0.076,0.001,0.119,0.000,0.002,0.002,0.007,86.746
15,79.816,0.000,1.490,5.646,11.677,0.235,0.027,0.000,0.342,0.009,0.316,0.001,0.000,0.089,0.162,0.002,0.024,0.036,0.001,0.109,0.000,0.002,0.003,0.013,88.323
16,77.556,0.000,1.407,5.551,14.035,0.236,0.028,0.000,0.392,0.008,0.315,0.001,0.000,0.087,0.160,0.002,0.031,0.065,0.001,0.112,0.000,0.002,0.003,0.008,85.965
17,74.575,0.000,1.588,5.338,17.097,0.231,0.026,0.000,0.386,0.007,0.313,0.001,0.000,0.088,0.150,0.002,0.026,0.046,0.001,0.109,0.000,0.001,0.003,0.012,82.903
18,78.245,0.000,1.636,5.420,13.408,0.224,0.029,0.000,0.288,0.009,0.311,0.001,0.000,0.087,0.156,0.002,0.029,0.031,0.001,0.108,0.000,0.002,0.003,0.010,86.592
19,78.367,0.015,1.537,5.173,13.461,0.236,0.017,0.005,0.430,0.008,0.345,0.002,0.003,0.094,0.114,0.003,0.027,0.032,0.001,0.109,0.000,0.002,0.004,0.015,86.539
20,79.197,0.000,1.704,5.588,12.072,0.264,0.024,0.000,0.366,0.005,0.322,0.001,0.000,0.091,0.158,0.002,0.023,0.060,0.002,0.111,0.000,0.002,0.003,0.005,87.928
21,76.886,0.319,1.730,5.087,14.375,0.264,0.018,0.031,0.528,0.009,0.337,0.001,0.004,0.094,0.131,0.003,0.017,0.046,0.001,0.108,0.000,0.002,0.004,0.005,85.625
22,74.639,0.321,0.689,5.058,14.235,3.770,0.026,0.009,0.330,0.002,0.017,0.000,0.003,0.155,0.296,0.100,0.036,0.231,0.001,0.060,0.000,0.002,0.003,0.017,85.765
23,75.610,0.000,1.604,5.300,16.263,0.213,0.024,0.000,0.250,0.006,0.311,0.001,0.000,0.088,0.153,0.002,0.021,0.038,0.002,0.104,0.000,0.001,0.003,0.006,83.737
24,76.065,0.000,1.496,5.445,15.617,0.233,0.023,0.000,0.361,0.007,0.315,0.001,0.000,0.090,0.156,0.002,0.026,0.040,0.002,0.110,0.000,0.002,0.003,0.006,84.383
25,78.427,0.000,1.361,4.067,15.131,0.065,0.040,0.006,0.427,0.007,0.087,0.001,0.000,0.098,0.004,0.002,0.018,0.102,0.001,0.148,0.000,0.002,0.003,0.003,84.869
26,78.241,0.000,1.711,5.527,13.125,0.231,0.027,0.000,0.381,0.008,0.310,0.001,0.000,0.090,0.154,0.002,0.028,0.036,0.002,0.113,0.000,0.002,0.003,0.008,86.875
